=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.06.19 13:28:36 =~=~=~=~=~=~=~=~=~=~=~=
Tiempo,Estado,Potencia,Termocupla
10320,1,90,1003
10330,1,90,1003
10340,1,90,1003
10350,1,90,1003
10360,1,90,1003
10370,1,90,1003
10380,1,90,1003
10390,1,90,1003
10400,1,90,1003
10410,1,90,1003
10420,1,90,1003
10430,1,90,1003
10440,1,90,1003
10450,1,90,1003
10460,1,90,1003
10470,1,90,1003
10480,1,90,1003
10490,1,90,1003
10500,1,90,1003
10510,1,90,1003
10520,1,90,1003
10530,1,90,1003
10540,1,90,1003
10550,1,90,1003
10560,1,90,1004
10570,1,90,1004
10580,1,90,1004
10590,1,90,1004
10600,1,90,1005
10610,1,90,1004
10620,1,90,1005
10630,1,90,1005
10640,1,90,1005
10650,1,90,1005
10660,1,90,1005
10670,1,90,1006
10680,1,90,1006
10690,1,90,1006
10700,1,90,1006
10710,1,90,1006
10720,1,90,1006
10730,1,85,1006
10740,1,85,1006
10750,1,85,1006
10760,1,85,1005
10770,1,85,1005
10780,1,85,1005
10790,1,85,1004
10800,1,85,1004
10810,1,85,1004
10820,1,85,1004
10830,1,85,1004
10840,1,85,1004
10850,1,85,1004
10860,1,85,1004
10870,1,85,1004
10880,1,85,1004
10890,1,85,1004
10900,1,85,1004
10910,1,85,1004
10920,1,85,1004
10930,1,85,1004
10940,1,85,1004
10950,1,85,1004
10960,1,85,1004
10970,1,85,1004
10980,1,85,1004
10990,1,85,1005
11000,1,85,1004
11010,1,85,1005
11020,1,85,1005
11030,1,85,1005
11040,1,85,1005
11050,1,85,1005
11060,1,85,1005
11070,1,85,1005
11080,1,85,1005
11090,1,85,1005
11100,1,85,1005
11110,1,85,1005
11120,1,85,1005
11130,1,85,1005
11140,1,85,1005
11150,1,85,1005
11160,1,85,1005
11170,1,85,1005
11180,1,85,1006
11190,1,85,1006
11200,1,85,1006
11210,1,85,1006
11220,1,85,1006
11230,1,85,1006
11240,1,85,1006
11250,1,85,1007
11260,1,85,1006
11270,1,85,1006
11280,1,85,1006
11290,1,85,1007
11300,1,85,1007
11310,1,85,1007
11320,1,85,1007
11330,1,80,1007
11340,1,80,1007
